🇨🇳电视频道,#genre#
CCTV1-综合,http://123.113.237.36:8012/rtp/239.3.1.129:8008
CCTV2-财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV2-财经,http://118.79.139.154:6000/rtp/226.0.2.154:9144
CCTV3-综艺,http://119.163.199.98:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://114.253.165.121:10000/rtp/239.3.1.105:8092
CCTV5-体育,http://nas.tuyuannet.cn:8800/rtp/239.37.0.232:5540
CCTV5+体育赛事,http://36.96.107.14:8083/udp/238.125.1.29:5140
CCTV6-电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7-军农,http://115.234.196.165:8808/udp/233.50.200.102:5140
CCTV8-电视剧,http://123.117.222.245:4022/rtp/239.3.1.175:8001
CCTV9-纪录,http://1.203.76.10:7788/udp/225.1.8.9:8112
CCTV10-科教,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://nas.tuyuannet.cn:8800/rtp/239.37.0.227:5540
CCTV12-社会与法,http://114.254.82.163:2222/rtp/239.3.1.64:8124
CCTV13-新闻,http://111.61.236.247:9081/hls/13/index.m3u8
CCTV14-少儿,http://171.80.235.51:8888/udp/239.69.1.107:10280
CCTV15-音乐,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐,http://61.134.237.129:8084/rtp/226.0.2.32:8168
CCTV16-奥林匹克,http://101.68.81.44:9999/rtp/233.50.201.192:5140
CCTV16-奥林匹克,http://183.184.206.36:8002/rtp/226.0.2.169:9264
CCTV17-农业农村,http://124.64.11.135:8888/rtp/239.3.1.151:8144
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV16-奥林匹克 4K,http://159.75.85.63:5828/cctv164k.php
河南卫视,http://home.oxtv.top:5066/udp/239.21.1.38:5002
湖南卫视,http://218.241.192.50:8808/rtp/239.3.1.132:8012
北京卫视,http://112.46.85.60:8009/hls/35/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://27.11.62.244:8009/udp/225.0.4.15:7980
安徽卫视,http://58.41.27.144:18888/udp/239.45.1.120:5140
天津卫视,http://58.37.132.119:8888/udp/239.45.1.124:5140
山东卫视,http://123.129.70.178:9901/tsfile/live/0018_1.m3u8
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759
重庆卫视,http://118.122.2.29:9999/hls/31/index.m3u8
辽宁卫视,http://111.193.234.224:8888/rtp/239.3.1.210:8056
四川卫视,http://119.86.72.213:4022/rtp/235.254.198.28:1388
东方卫视,http://211.158.154.21:8009/udp/225.0.4.80:7980
贵州卫视,http://123.113.99.151:4022/rtp/239.3.1.149:8076
陕西卫视,http://123.113.186.207:8000/rtp/239.3.1.41:8140
广西卫视,http://59.173.134.164:8880/rtp/239.69.1.191:10788
江西卫视,http://218.80.79.205:4022/udp/239.45.1.122:5140
吉林卫视,http://113.109.250.1:9999/rtp/239.77.0.150:5146
厦门卫视,http://14.204.46.247:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://110.178.52.111:8083/udp/239.1.1.48:8048
宁夏卫视,http://123.113.186.207:8000/rtp/239.3.1.46:8124
东南卫视,http://61.157.139.15:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://110.178.52.111:8083/udp/239.1.1.54:8054
甘肃卫视,http://58.220.219.14:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8
青海卫视,http://110.178.52.111:8083/udp/239.1.1.53:8053
兵团卫视,http://124.115.207.92:8081/rtp/239.112.205.198:5140
农林卫视,http://112.46.85.60:8009/hls/27/index.m3u8
康巴卫视,http://118.122.2.29:9999/hls/39/index.m3u8
大湾区卫视,http://110.178.52.111:8083/udp/239.1.1.69:8069
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
新疆卫视,http://112.46.85.60:8009/hls/61/index.m3u8
